ID,old_url
ui_api_1426,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1426
ui_api_1428,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1428
ui_api_1429,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1429
ui_api_143,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_143
ui_api_1430,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1430
ui_api_1431,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1431
ui_api_1432,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1432
ui_api_1433,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1433
ui_api_1434,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1434
ui_api_1435,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1435
ui_api_1436,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1436
ui_api_1437,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1437
ui_api_1438,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1438
ui_api_1439,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1439
ui_api_144,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_144
ui_api_1440,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1440
ui_api_1441,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1441
ui_api_1442,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1442
ui_api_1444,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1444
ui_api_1445,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1445
ui_api_1446,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1446
ui_api_1447,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1447
ui_api_1448,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1448
ui_api_1449,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1449
ui_api_145,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_145
ui_api_1450,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1450
ui_api_1451,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1451
ui_api_1452,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1452
ui_api_1453,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1453
ui_api_1454,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1454
ui_api_1455,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1455
ui_api_1456,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1456
ui_api_146,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_146
ui_api_1461,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1461
ui_api_147,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_147
ui_api_1470,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1470
ui_api_1475,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1475
ui_api_148,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_148
ui_api_1482,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1482
ui_api_1487,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1487
ui_api_149,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_149
ui_api_1492,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1492
ui_api_1497,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1497
ui_api_150,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_150
ui_api_1502,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1502
ui_api_1507,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1507
ui_api_151,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_151
ui_api_1512,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1512
ui_api_1519,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1519
ui_api_152,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_152
ui_api_1524,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1524
ui_api_1529,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1529
ui_api_153,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_153
ui_api_1534,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1534
ui_api_154,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_154
