ID,old_url,new_landing_page_url,new_iiif_manifest_url
ui_api_1230,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1230,https://digital.lib.uiowa.edu/node/68861,https://digital.lib.uiowa.edu/node/68861/iiif-p/manifest
ui_api_124,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_124,https://digital.lib.uiowa.edu/node/429901,https://digital.lib.uiowa.edu/node/429901/iiif-p/manifest
ui_api_1240,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1240,https://digital.lib.uiowa.edu/node/74887,https://digital.lib.uiowa.edu/node/74887/iiif-p/manifest
ui_api_1245,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1245,https://digital.lib.uiowa.edu/node/132168,https://digital.lib.uiowa.edu/node/132168/iiif-p/manifest
ui_api_125,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_125,https://digital.lib.uiowa.edu/node/649929,https://digital.lib.uiowa.edu/node/649929/iiif-p/manifest
ui_api_1250,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1250,https://digital.lib.uiowa.edu/node/269161,https://digital.lib.uiowa.edu/node/269161/iiif-p/manifest
ui_api_1255,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1255,https://digital.lib.uiowa.edu/node/207211,https://digital.lib.uiowa.edu/node/207211/iiif-p/manifest
ui_api_126,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_126,https://digital.lib.uiowa.edu/node/860302,https://digital.lib.uiowa.edu/node/860302/iiif-p/manifest
ui_api_1260,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1260,https://digital.lib.uiowa.edu/node/72809,https://digital.lib.uiowa.edu/node/72809/iiif-p/manifest
ui_api_1265,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1265,https://digital.lib.uiowa.edu/node/390880,https://digital.lib.uiowa.edu/node/390880/iiif-p/manifest
ui_api_127,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_127,https://digital.lib.uiowa.edu/node/641895,https://digital.lib.uiowa.edu/node/641895/iiif-p/manifest
ui_api_1270,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1270,https://digital.lib.uiowa.edu/node/35970,https://digital.lib.uiowa.edu/node/35970/iiif-p/manifest
ui_api_1275,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1275,https://digital.lib.uiowa.edu/node/186232,https://digital.lib.uiowa.edu/node/186232/iiif-p/manifest
ui_api_128,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_128,https://digital.lib.uiowa.edu/node/4540,https://digital.lib.uiowa.edu/node/4540/iiif-p/manifest
ui_api_1280,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1280,https://digital.lib.uiowa.edu/node/49890,https://digital.lib.uiowa.edu/node/49890/iiif-p/manifest
ui_api_1283,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1283,https://digital.lib.uiowa.edu/node/467228,https://digital.lib.uiowa.edu/node/467228/iiif-p/manifest
ui_api_1287,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1287,https://digital.lib.uiowa.edu/node/2263,https://digital.lib.uiowa.edu/node/2263/iiif-p/manifest
ui_api_129,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_129,https://digital.lib.uiowa.edu/node/774194,https://digital.lib.uiowa.edu/node/774194/iiif-p/manifest
ui_api_1291,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1291,https://digital.lib.uiowa.edu/node/350689,https://digital.lib.uiowa.edu/node/350689/iiif-p/manifest
ui_api_1296,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1296,https://digital.lib.uiowa.edu/node/422184,https://digital.lib.uiowa.edu/node/422184/iiif-p/manifest
ui_api_130,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_130,https://digital.lib.uiowa.edu/node/743199,https://digital.lib.uiowa.edu/node/743199/iiif-p/manifest
ui_api_1301,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1301,https://digital.lib.uiowa.edu/node/124088,https://digital.lib.uiowa.edu/node/124088/iiif-p/manifest
ui_api_1306,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1306,https://digital.lib.uiowa.edu/node/133336,https://digital.lib.uiowa.edu/node/133336/iiif-p/manifest
ui_api_131,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_131,https://digital.lib.uiowa.edu/node/455025,https://digital.lib.uiowa.edu/node/455025/iiif-p/manifest
ui_api_1317,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1317,https://digital.lib.uiowa.edu/node/85995,https://digital.lib.uiowa.edu/node/85995/iiif-p/manifest
ui_api_132,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_132,https://digital.lib.uiowa.edu/node/478601,https://digital.lib.uiowa.edu/node/478601/iiif-p/manifest
ui_api_1322,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1322,https://digital.lib.uiowa.edu/node/273909,https://digital.lib.uiowa.edu/node/273909/iiif-p/manifest
ui_api_1327,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1327,https://digital.lib.uiowa.edu/node/184610,https://digital.lib.uiowa.edu/node/184610/iiif-p/manifest
ui_api_133,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_133,https://digital.lib.uiowa.edu/node/727603,https://digital.lib.uiowa.edu/node/727603/iiif-p/manifest
ui_api_1332,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1332,https://digital.lib.uiowa.edu/node/75573,https://digital.lib.uiowa.edu/node/75573/iiif-p/manifest
ui_api_1337,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1337,https://digital.lib.uiowa.edu/node/148270,https://digital.lib.uiowa.edu/node/148270/iiif-p/manifest
ui_api_134,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_134,https://digital.lib.uiowa.edu/node/608178,https://digital.lib.uiowa.edu/node/608178/iiif-p/manifest
